Algorithm,Problem,Exp,Indicator,Value,obj
1,3,1,1,2.1082087,3
1,3,1,2,0.220549194163462,3
1,3,1,3,0.550795629721326,3
1,3,2,1,2.102569,3
1,3,2,2,0.217096395032063,3
1,3,2,3,0.5579746032937,3
1,3,3,1,2.1101278,3
1,3,3,2,0.357313041635447,3
1,3,3,3,0.545604552693037,3
1,3,4,1,2.1292022,3
1,3,4,2,0.22151175813504,3
1,3,4,3,0.543536882660231,3
1,3,5,1,2.149849,3
1,3,5,2,0.221352285637295,3
1,3,5,3,0.552665967585458,3
1,3,6,1,2.1028976,3
1,3,6,2,0.21920828406853,3
1,3,6,3,0.556313299978906,3
1,3,7,1,2.0969643,3
1,3,7,2,0.358108573927267,3
1,3,7,3,0.548364603773662,3
1,3,8,1,2.0856264,3
1,3,8,2,0.223098050213207,3
1,3,8,3,0.549978028605029,3
1,3,9,1,2.1024516,3
1,3,9,2,0.223145989355849,3
1,3,9,3,0.555809363606174,3
1,3,10,1,2.1068662,3
1,3,10,2,0.219120252073615,3
1,3,10,3,0.554693363541452,3
1,3,11,1,2.0958869,3
1,3,11,2,0.219249457077375,3
1,3,11,3,0.557163598056477,3
1,3,12,1,2.0959325,3
1,3,12,2,0.217914114294843,3
1,3,12,3,0.555119090897411,3
1,3,13,1,2.5221619,3
1,3,13,2,0.218838766259338,3
1,3,13,3,0.55441447580613,3
1,3,14,1,2.1316888,3
1,3,14,2,0.224000375712662,3
1,3,14,3,0.549926992654683,3
1,3,15,1,2.1256836,3
1,3,15,2,0.224020230166906,3
1,3,15,3,0.551602961281864,3
1,3,16,1,2.0835309,3
1,3,16,2,0.514404259739958,3
1,3,16,3,0.550834046860724,3
1,3,17,1,2.2283751,3
1,3,17,2,0.219846014412158,3
1,3,17,3,0.549285312580009,3
1,3,18,1,2.1090705,3
1,3,18,2,0.231337227357602,3
1,3,18,3,0.542753864324455,3
1,3,19,1,2.1275122,3
1,3,19,2,0.218847807272544,3
1,3,19,3,0.554808676043355,3
1,3,20,1,2.0818754,3
1,3,20,2,0.218203332044822,3
1,3,20,3,0.555353814231978,3
2,3,1,1,3.9996809,3
2,3,1,2,0.192142156218859,3
2,3,1,3,0.568849364007462,3
2,3,2,1,4.1411796,3
2,3,2,2,0.191449940137404,3
2,3,2,3,0.571351111001424,3
2,3,3,1,4.021666,3
2,3,3,2,0.19670470351211,3
2,3,3,3,0.563977450715957,3
2,3,4,1,4.2021677,3
2,3,4,2,0.191577284255512,3
2,3,4,3,0.570404478332859,3
2,3,5,1,3.9936673,3
2,3,5,2,0.19293324824192,3
2,3,5,3,0.567826980159991,3
2,3,6,1,4.0296502,3
2,3,6,2,0.192685477973964,3
2,3,6,3,0.568521531693196,3
2,3,7,1,3.9790667,3
2,3,7,2,0.195054281252343,3
2,3,7,3,0.563069572057409,3
2,3,8,1,4.2670063,3
2,3,8,2,0.193064835355611,3
2,3,8,3,0.569122324542596,3
2,3,9,1,3.9421962,3
2,3,9,2,0.191325236782251,3
2,3,9,3,0.57209545496107,3
2,3,10,1,4.2214568,3
2,3,10,2,0.191925853334157,3
2,3,10,3,0.569112455351696,3
2,3,11,1,4.032361,3
2,3,11,2,0.192361520967163,3
2,3,11,3,0.567923964959691,3
2,3,12,1,4.4916468,3
2,3,12,2,0.19184160257036,3
2,3,12,3,0.569555238344633,3
2,3,13,1,4.2332446,3
2,3,13,2,0.192228328726799,3
2,3,13,3,0.571013280048602,3
2,3,14,1,4.0903319,3
2,3,14,2,0.19712645264228,3
2,3,14,3,0.560990855604047,3
2,3,15,1,4.1622312,3
2,3,15,2,0.191310559147927,3
2,3,15,3,0.571213310758485,3
2,3,16,1,4.2309626,3
2,3,16,2,0.191468651150527,3
2,3,16,3,0.570850950787019,3
2,3,17,1,4.1860267,3
2,3,17,2,0.191016615093368,3
2,3,17,3,0.572696883132476,3
2,3,18,1,4.0037064,3
2,3,18,2,0.190842302626037,3
2,3,18,3,0.573935166759249,3
2,3,19,1,4.0742663,3
2,3,19,2,0.191364674101591,3
2,3,19,3,0.571634619517844,3
2,3,20,1,3.9879122,3
2,3,20,2,0.191473324293726,3
2,3,20,3,0.570885501723148,3
3,3,1,1,30.3699004,3
3,3,1,2,0.191000372742901,3
3,3,1,3,0.572863505767939,3
3,3,2,1,29.9191084,3
3,3,2,2,0.210801590607671,3
3,3,2,3,0.544856851952692,3
3,3,3,1,30.5224305,3
3,3,3,2,0.193216692881153,3
3,3,3,3,0.566097977188774,3
3,3,4,1,30.2919239,3
3,3,4,2,0.196444242718071,3
3,3,4,3,0.560692901520506,3
3,3,5,1,30.0331004,3
3,3,5,2,0.198199636962763,3
3,3,5,3,0.558179258422708,3
3,3,6,1,30.2462738,3
3,3,6,2,0.191735293768407,3
3,3,6,3,0.569825648769253,3
3,3,7,1,29.9814087,3
3,3,7,2,0.191659929878984,3
3,3,7,3,0.570345485632573,3
3,3,8,1,29.8536607,3
3,3,8,2,0.193871211168641,3
3,3,8,3,0.56762672403224,3
3,3,9,1,29.8462421,3
3,3,9,2,0.192269541349083,3
