Algorithm,Problem,Exp,obj,Indicator,value
MOEA/D,F3,5,10D,DeltaP,0.999913597847399
MOEA/D,F3,5,15D,DeltaP,0.999289240603168
MOEA/D,F3,6,3D,DeltaP,0.997240123188971
MOEA/D,F3,6,5D,DeltaP,0.998585477396065
MOEA/D,F3,6,7D,DeltaP,0.999801791776564
MOEA/D,F3,6,10D,DeltaP,0.990954384358071
MOEA/D,F3,6,15D,DeltaP,0.992044414152062
MOEA/D,F3,7,3D,DeltaP,0.997473042689444
MOEA/D,F3,7,5D,DeltaP,0.998660427085339
MOEA/D,F3,7,7D,DeltaP,0.999931823416915
MOEA/D,F3,7,10D,DeltaP,0.99995448094077
MOEA/D,F3,7,15D,DeltaP,0.991939428990301
MOEA/D,F3,8,3D,DeltaP,0.990638860731277
MOEA/D,F3,8,5D,DeltaP,0.998940415601377
MOEA/D,F3,8,7D,DeltaP,0.999889152524221
MOEA/D,F3,8,10D,DeltaP,0.999930580507746
MOEA/D,F3,8,15D,DeltaP,0.999348345817974
MOEA/D,F3,9,3D,DeltaP,0.995588978581485
MOEA/D,F3,9,5D,DeltaP,0.998887782538558
MOEA/D,F3,9,7D,DeltaP,0.999851768812496
MOEA/D,F3,9,10D,DeltaP,0.999937473918176
MOEA/D,F3,9,15D,DeltaP,0.991945963732444
MOEA/D,F3,10,3D,DeltaP,0.992114713383463
MOEA/D,F3,10,5D,DeltaP,0.998845206100247
MOEA/D,F3,10,7D,DeltaP,0.999880026003249
MOEA/D,F3,10,10D,DeltaP,1
MOEA/D,F3,10,15D,DeltaP,0.999333249874739
MOEA/D,F3,11,3D,DeltaP,0.983045962947642
MOEA/D,F3,11,5D,DeltaP,0.998695857667582
MOEA/D,F3,11,7D,DeltaP,0.99958726761521
MOEA/D,F3,11,10D,DeltaP,0.990532419739774
MOEA/D,F3,11,15D,DeltaP,0.999265128507813
MOEA/D,F3,12,3D,DeltaP,0.999845151656351
MOEA/D,F3,12,5D,DeltaP,0.99875853466155
MOEA/D,F3,12,7D,DeltaP,0.999784177373885
MOEA/D,F3,12,10D,DeltaP,0.999959360478277
MOEA/D,F3,12,15D,DeltaP,0.991917488104071
MOEA/D,F3,13,3D,DeltaP,0.996337675367043
MOEA/D,F3,13,5D,DeltaP,0.998841770058982
MOEA/D,F3,13,7D,DeltaP,0.999855628632731
MOEA/D,F3,13,10D,DeltaP,0.999948591872327
MOEA/D,F3,13,15D,DeltaP,0.991985351029606
MOEA/D,F3,14,3D,DeltaP,0.978486351439659
MOEA/D,F3,14,5D,DeltaP,0.998909084510353
MOEA/D,F3,14,7D,DeltaP,0.999908417594981
MOEA/D,F3,14,10D,DeltaP,0.999942499517163
MOEA/D,F3,14,15D,DeltaP,0.991645173091762
MOEA/D,F3,15,3D,DeltaP,0.997735172687823
MOEA/D,F3,15,5D,DeltaP,0.998841722174876
MOEA/D,F3,15,7D,DeltaP,0.999802052703814
MOEA/D,F3,15,10D,DeltaP,0.999800201285043
MOEA/D,F3,15,15D,DeltaP,0.999197347188508
MOEA/D,F3,16,3D,DeltaP,0.974357260304737
MOEA/D,F3,16,5D,DeltaP,0.998765100496044
MOEA/D,F3,16,7D,DeltaP,0.999901581895207
MOEA/D,F3,16,10D,DeltaP,0.999987807056279
MOEA/D,F3,16,15D,DeltaP,0.999309779247488
MOEA/D,F3,17,3D,DeltaP,0.993930476713257
MOEA/D,F3,17,5D,DeltaP,0.998604933671601
